,회사명,종목코드,업종,상장일,최근일 거래량
215,이스트소프트,047560,소프트웨어 개발 및 공급업,2008-07-01,52182.0
216,이엠넷,123570,광고업,2011-11-25,192070.0
217,이지웰,090850,소프트웨어 개발 및 공급업,2013-12-27,233699.0
218,인베니아,079950,특수 목적용 기계 제조업,2005-02-04,99700.0
219,인텍플러스,064290,특수 목적용 기계 제조업,2011-01-05,497769.0
220,자이글,234920,가정용 기기 제조업,2016-09-06,119655.0
221,정상제이엘에스,040420,일반 교습 학원,2000-08-01,53848.0
222,제우스,079370,특수 목적용 기계 제조업,2006-02-01,73628.0
223,제이엠티,094970,전자부품 제조업,2007-10-12,162977.0
224,제이웨이,058420,"영화, 비디오물, 방송프로그램 제작 및 배급업",2002-01-10,0.0
225,제일제강,023440,1차 철강 제조업,1994-10-07,262239.0
226,제주반도체,080220,반도체 제조업,2005-02-01,660596.0
227,젬백스,082270,특수 목적용 기계 제조업,2005-06-24,813021.0
228,조아제약,034940,의약품 제조업,1999-08-13,4628687.0
229,주성엔지니어링,036930,특수 목적용 기계 제조업,1999-12-24,618894.0
230,지엔씨에너지,119850,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2013-10-02,380430.0
231,지엔코,065060,봉제의복 제조업,2002-05-28,649206.0
232,카이노스메드,284620,자연과학 및 공학 연구개발업,2018-06-08,7744386.0
233,캐스텍코리아,071850,자동차 신품 부품 제조업,2014-05-27,253330.0
234,케이비제20호스팩,342550,금융 지원 서비스업,2020-01-30,10825.0
235,케이알피앤이,060900,기타 화학제품 제조업,2002-09-17,2353283.0
236,케이피엠테크,042040,기타 화학제품 제조업,2003-01-07,3838274.0
237,케이피티유,054410,기타 금속 가공제품 제조업,2002-04-25,5143.0
238,켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업",2020-03-03,227380.0
239,코렌,078650,사진장비 및 광학기기 제조업,2010-10-22,895116.0
240,코스온,069110,기타 화학제품 제조업,2003-10-14,64236.0
241,코윈테크,282880,특수 목적용 기계 제조업,2019-08-05,416523.0
242,코프라,126600,합성고무 및 플라스틱 물질 제조업,2010-11-12,303036.0
243,키네마스터,139670,소프트웨어 개발 및 공급업,2011-12-02,1411474.0
244,토탈소프트,045340,소프트웨어 개발 및 공급업,2002-07-19,102280.0
245,트루윈,105550,전자부품 제조업,2014-07-11,91456.0
246,특수건설,026150,토목 건설업,1997-08-06,483527.0
247,티앤알바이오팹,246710,기초 의약물질 및 생물학적 제제 제조업,2018-11-28,139287.0
248,티에스이,131290,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2011-01-05,127032.0
249,파세코,037070,가정용 기기 제조업,2000-01-04,500283.0
250,파커스,065690,반도체 제조업,2002-07-16,29838.0
251,판타지오,032800,창작 및 예술관련 서비스업,1997-06-26,3291810.0
252,패션플랫폼,225590,봉제의복 제조업,2015-10-05,192564.0
253,푸드웰,005670,"과실, 채소 가공 및 저장 처리업",1993-12-07,156987.0
254,프로스테믹스,203690,기초 의약물질 및 생물학적 제제 제조업,2014-09-30,931776.0
255,피델릭스,032580,반도체 제조업,1997-04-22,661658.0
256,피에스엠씨,024850,전자부품 제조업,2001-01-18,6673322.0
257,하나금융15호스팩,341160,금융 지원 서비스업,2020-01-30,13093.0
258,하이즈항공,221840,"항공기,우주선 및 부품 제조업",2015-11-25,47206.0
259,한국맥널티,222980,기타 식품 제조업,2015-12-23,236187.0
260,한국코퍼레이션,050540,기타 사업지원 서비스업,2005-12-12,0.0
261,한양디지텍,078350,반도체 제조업,2004-05-14,41237.0
262,한일진공,123840,특수 목적용 기계 제조업,2010-10-05,207883.0
263,한일화학,007770,기초 화학물질 제조업,1992-09-07,23276.0
264,해마로푸드서비스,220630,음·식료품 및 담배 도매업,2015-08-28,610125.0
265,화성밸브,039610,일반 목적용 기계 제조업,2000-03-16,185187.0
266,화이브라더스코리아,204630,창작 및 예술관련 서비스업,2014-12-29,446540.0
267,휴맥스,115160,영상 및 음향기기 제조업,2009-11-16,437420.0
268,LPK로보틱스,183350,특수 목적용 기계 제조업,2013-10-11,160904.0
269,나눔테크,244880,의료용 기기 제조업,2016-06-01,7696.0
270,다원넥스뷰,323350,사진장비 및 광학기기 제조업,2019-05-21,1.0
271,선바이오,067370,의약품 제조업,2016-01-22,43351.0
